dim,alpha,n_samples,mean_charge,std_charge,mean_hydro,std_hydro,mean_moment,std_moment,mean_length,std_length
17,-1.2880357503890991,3,0.6666666666666666,0.4714045207910317,1.1387362637362637,0.5219952281721671,1.8727170181963124,0.1352505427891039,14.333333333333334,1.247219128924647
17,-0.966026782989502,3,1.0333333333333334,0.047140452079103216,1.1426847662141781,0.7564850659784818,1.6162627443698188,0.1476814288334761,15.666666666666666,1.8856180831641267
17,-0.6440178751945496,3,2.4,1.1775681155103797,0.7369401272214571,0.5263542281722768,1.72104264692754,0.23070488591496394,17.666666666666668,4.109609335312651
17,-0.3220089375972748,3,1.7666666666666668,0.9463379711052261,0.6280952380952382,0.45064545965748043,1.4905566978632823,0.09459652709856643,17.666666666666668,4.0276819911981905
17,0.0,3,0.8000000000000002,0.43204937989385733,0.7059307359307359,0.36718921963333295,1.5712129106065282,0.23974071310488246,18.666666666666668,3.39934634239519
17,0.3220089375972748,3,1.0999999999999999,0.14142135623730942,0.2626923076923078,0.8763380302116679,0.9414759417394546,0.4532405770387962,22.666666666666668,9.177266598624136
17,0.6440178751945496,3,2.6999999999999997,3.1379398762032817,0.07820512820512826,0.32121461628838016,1.5206361452681867,0.5063761802799375,21.333333333333332,11.785113019775793
17,0.966026782989502,3,1.3666666666666665,0.4496912521077347,0.7852869352869355,1.034953583134274,1.5105890304420366,0.21688748552487808,15.333333333333334,4.027681991198191
17,1.2880357503890991,3,1.4000000000000001,1.1775681155103794,-0.03773279352226724,0.603827219897846,1.4464544530207892,0.32755977012795595,17.333333333333332,3.0912061651652345
12,-1.2729902267456055,3,1.4000000000000001,1.2027745701779142,0.6607937405731523,0.6843234765305437,1.5419377284222275,0.4265049110131585,15.333333333333334,1.699673171197595
12,-0.9547426700592041,3,4.033333333333333,0.7760297817881876,0.4450169541500812,0.3838075678480941,1.6256824201912148,0.27069658935173047,16.666666666666668,2.0548046676563256
12,-0.6364951133728027,3,2.3333333333333335,0.9428090415820634,1.2685560053981106,0.20411988486394114,1.86317144292162,0.18763123144225574,17.0,2.8284271247461903
12,-0.31824755668640137,3,2.066666666666667,1.5084944665313014,0.22746235246235236,0.8947714865892769,1.0950879436420498,0.70700970650179,21.0,10.614455552060438
12,0.0,3,0.0,0.0,-0.8655627705627705,0.706711475506015,1.134909102641847,0.4719100120852669,18.666666666666668,3.39934634239519
12,0.31824755668640137,3,2.0,0.816496580927726,0.7929474683860649,0.22320410882218167,1.5589631116728146,0.5582099714137951,19.666666666666668,5.734883511361751
12,0.6364951133728027,3,1.0,0.816496580927726,0.6425641025641027,1.0449182622985131,1.6205744138375369,0.391409089025315,11.666666666666666,1.247219128924647
12,0.9547426700592041,3,4.1,0.8164965809277259,-0.7826065162907269,0.7765888025165478,0.9350924983829721,0.43144772090316286,24.666666666666668,9.741092797468305
12,1.2729902267456055,3,1.6666666666666667,1.247219128924647,0.7348544973544971,0.27845591511588924,1.6256884034846584,0.14345489555628063,18.666666666666668,4.109609335312651
16,-1.2712866067886353,3,0.43333333333333335,1.2472191289246473,0.6392628205128205,0.1539464483446189,1.780057944255887,0.33915802820697755,14.0,1.4142135623730951
16,-0.9534649848937988,3,1.0666666666666667,0.09428090415820642,0.7135869565217391,0.2415184616065331,1.5720626166049394,0.08700034250322573,19.666666666666668,2.8674417556808756
16,-0.6356433033943176,3,0.4000000000000001,1.6673332000533065,-0.021720549981419552,0.4858377557324486,1.849630281231412,0.2715448448691186,16.0,4.96655480858378
16,-0.3178216516971588,3,1.7333333333333334,0.4496912521077347,-0.006036838978015435,0.6546849621188041,1.382623290768959,0.3326596101757155,18.0,2.943920288775949
16,0.0,3,3.0,0.0,0.8075414781297136,0.6111772074084993,1.9224033621625842,0.16610908513291162,16.0,2.160246899469287
16,0.3178216516971588,3,2.6666666666666665,0.4714045207910317,0.4582043343653251,0.4207534753437429,1.4779299739278,0.11357520847151092,16.333333333333332,2.494438257849294
16,0.6356433033943176,3,1.4000000000000001,0.9201449161228175,0.34661437908496734,0.4188820126768816,1.7874238007492205,0.22790355096784218,18.0,5.354126134736337
16,0.9534649848937988,3,1.3333333333333333,0.4714045207910317,0.7652380952380952,0.06857473537000178,1.4093514034633354,0.13318638474221695,19.333333333333332,4.109609335312651
16,1.2712866067886353,3,2.733333333333333,0.3771236166328253,0.016269841269841264,0.3662752153555081,1.561316510195864,0.32171091688159237,21.0,5.715476066494082
9,-1.2670316696166992,3,1.7666666666666668,1.27627931460511,0.1935550935550935,0.4457855900316719,1.1777419184883542,0.8047740550870895,23.666666666666668,9.977753031397176
9,-0.9502737522125244,3,1.3666666666666665,1.211977264179856,0.24681861348528014,0.7599704760465197,1.1350205094122003,0.6929444728100562,17.666666666666668,6.599663291074443
9,-0.6335158348083496,3,1.3666666666666665,1.239175353029407,0.7456259426847662,0.2778672532993972,1.9277213946272955,0.19614383909367578,15.333333333333334,1.699673171197595
9,-0.3167579174041748,3,1.6666666666666667,0.4714045207910317,0.12451441102756888,0.9153430587502824,1.4986161683955348,0.39415646035963825,16.333333333333332,2.0548046676563256
9,0.0,3,2.3333333333333335,1.247219128924647,0.8045588235294119,0.23881323627968373,1.51893512471353,0.32107083482515536,17.666666666666668,1.699673171197595
9,0.3167579174041748,3,2.4333333333333336,0.41899350299921784,0.7623074229691876,0.35789916298659247,1.8272181120802564,0.33138194329887577,15.666666666666666,1.247219128924647
9,0.6335158348083496,3,2.6999999999999997,3.073543015262137,0.47008547008547,0.7823842175810652,1.7432348256605001,0.4988095922471617,17.0,6.377042156569663
9,0.9502737522125244,3,2.0,2.160246899469287,0.0023931623931624144,0.5688295087352937,1.6628535894413943,0.5170717840339278,17.666666666666668,5.2493385826745405
9,1.2670316696166992,3,4.0,2.449489742783178,0.49632478632478644,1.0401641910321886,1.357038530753212,0.27472873999500347,21.333333333333332,6.944222218666553
6,-1.2669824361801147,3,1.4000000000000001,0.42426406871192845,0.0726944444444444,0.46454226940261145,1.792192804575014,0.15741557561590785,17.666666666666668,5.436502143433363
