dim,variance,is_active
0,0.3985881805419922,True
1,0.3866974711418152,True
2,0.384380578994751,True
3,0.37840184569358826,True
4,0.38433292508125305,True
5,0.3827129304409027,True
6,0.40131109952926636,True
7,0.37999972701072693,True
8,0.3842181861400604,True
9,0.40134233236312866,True
10,0.37796056270599365,True
11,0.3856598436832428,True
12,0.40512600541114807,True
13,0.39025381207466125,True
14,0.37603312730789185,True
15,0.37184426188468933,True
16,0.40404242277145386,True
17,0.4147590398788452,True
18,0.3743515908718109,True
19,0.39967861771583557,True
20,0.38913455605506897,True
21,0.39271485805511475,True
22,0.38631564378738403,True
23,0.3813519775867462,True
24,0.3837800920009613,True
25,0.38686367869377136,True
26,0.39737260341644287,True
27,0.3692891597747803,True
28,0.39488115906715393,True
29,0.380359023809433,True
30,0.38311225175857544,True
31,0.3737061619758606,True
